generated_at,total_rows,schema_valid,duplicate_rows,historical_count,live_count,overlap_count
2026-07-05,49574,True,152,49484,90,74
2026-07-05,49574,True,152,49484,90,74
2026-07-05,49574,True,152,49484,90,74
2026-07-05,49574,True,152,49484,90,74
2026-07-06,49576,True,152,49484,92,74
2026-07-07,49578,True,152,49484,94,74
2026-07-08,49580,True,152,49484,96,74
2026-07-09,49580,True,152,49484,96,74
2026-07-10,49581,True,152,49484,97,74
2026-07-11,49582,True,152,49484,98,74
2026-07-12,49584,True,152,49484,100,74
2026-07-13,49584,True,152,49484,100,74
2026-07-14,49584,True,152,49484,100,74
2026-07-14,49585,True,152,49484,101,74
2026-07-15,49585,True,152,49484,101,74
2026-07-16,49586,True,152,49484,102,74
2026-07-17,49586,True,152,49484,102,74
2026-07-18,49586,True,152,49484,102,74
2026-07-19,49587,True,152,49484,103,74
2026-07-20,49588,True,152,49484,104,74
2026-07-21,49588,True,152,49484,104,74
2026-07-22,49588,True,152,49484,104,74
2026-07-23,49588,True,152,49484,104,74
2026-07-24,49588,True,152,49484,104,74
2026-07-25,49588,True,152,49484,104,74
